,Country,Carbon,Methane,Nitrogen,FGas
308,New Zealand,1.39,11.49,0.43,0.44
309,European Union (27),1.38,11.47,0.43,0.44
310,Romania,1.37,11.46,0.42,0.42
311,Brazil,1.35,11.22,0.42,0.38
312,United Kingdom,1.33,11.15,0.42,0.35
313,Russia,1.32,11.06,0.41,0.34
314,United Arab Emirates,1.29,10.96,0.41,0.32
315,Germany,1.29,10.83,0.41,0.3
316,Venezuela,1.28,10.75,0.4,0.37
317,Tunisia,1.27,10.71,0.4,0.32
318,Côte d'Ivoire,1.24,10.71,0.39,0.3
319,Bangladesh,1.23,10.56,0.39,0.35
320,Bahrain,1.22,10.52,0.39,0.29
321,World,1.21,10.47,0.38,0.3
322,Ecuador,1.2,10.4,0.38,0.27
323,Singapore,1.13,10.12,0.38,0.34
324,Kazakhstan,1.12,10.01,0.38,0.27
325,Turkmenistan,1.1,9.95,0.38,0.29
326,Iran,1.1,9.93,0.37,0.26
327,Chad,1.09,9.89,0.37,0.28
328,Lebanon,1.09,9.88,0.37,0.26
329,Nigeria,1.08,9.76,0.36,0.22
330,China,1.08,9.67,0.36,0.25
331,Japan,1.07,9.49,0.36,0.24
332,Cuba,1.06,9.45,0.36,0.23
333,Dominican Republic,1.06,9.36,0.36,0.21
334,Syria,1.05,9.36,0.36,0.18
335,South Korea,1.04,9.32,0.35,0.21
336,Bangladesh,1.04,9.29,0.35,0.16
337,Netherlands,1.03,9.12,0.35,0.17
338,Uzbekistan,1.02,9.09,0.35,0.16
339,Saudi Arabia,1.0,9.08,0.35,0.15
340,Spain,1.0,9.06,0.35,0.14
341,Kazakhstan,0.99,9.02,0.34,0.14
342,Oman,0.99,8.9,0.34,0.13
343,Libya,0.99,8.88,0.34,0.15
344,Burkina Faso,0.98,8.73,0.34,0.12
345,Uzbekistan,0.98,8.67,0.33,0.14
346,Canada,0.98,8.56,0.33,0.12
347,Turkey,0.97,8.52,0.32,0.1
348,France,0.96,8.5,0.32,0.11
349,Argentina,0.93,8.31,0.31,0.09
350,South Sudan,0.92,8.28,0.31,0.09
351,United States,0.92,8.27,0.31,0.09
