,Country,Carbon,Methane,Nitrogen,FGas
10105,Portugal,0.0,5.87,0.0,0.0
10106,European Union (27),0.0,24.72,0.0,0.0
10107,Finland,0.0,26.51,0.0,0.0
10108,Maldives,0.0,25.9,0.0,0.0
10109,Chad,0.0,23.1,0.0,0.0
10110,Oman,0.0,19.76,0.0,0.0
10111,Senegal,0.0,14.67,0.0,0.0
10112,Côte d'Ivoire,0.0,15.57,0.0,0.0
10113,Ecuador,0.0,35.32,0.0,0.0
10114,Iran,0.0,22.02,0.0,0.0
10115,Dominican Republic,0.0,16.36,0.0,0.0
10116,Uzbekistan,0.0,22.85,0.0,0.0
10117,Canada,0.0,21.15,0.0,0.0
10118,Trinidad and Tobago,0.0,15.57,0.0,0.0
10119,Tunisia,0.0,23.06,0.0,0.0
10120,Kenya,0.0,17.77,0.0,0.0
10121,Norway,0.0,23.4,0.0,0.0
10122,Ghana,0.01,20.7,0.0,0.0
10123,Czech Republic,0.0,17.78,0.0,0.0
10124,Slovakia,0.0,25.13,0.0,0.0
10125,Chad,0.0,13.52,0.0,0.0
10126,Angola,0.0,11.32,0.0,0.0
10127,Tajikistan,0.0,20.1,0.0,0.0
10128,Estonia,0.0,10.99,0.0,0.0
10129,France,0.0,7.15,0.0,0.0
10130,Angola,0.0,8.3,0.0,0.0
10131,Kazakhstan,0.0,14.77,0.0,0.0
10132,Ethiopia,0.0,24.34,0.0,0.0
10133,Sri Lanka,0.0,14.13,0.0,0.0
10134,Malaysia,0.0,10.79,0.0,0.0
10135,Hungary,0.0,29.45,0.0,0.0
10136,Ireland,0.0,17.71,0.0,0.0
10137,Tajikistan,0.0,9.71,0.0,0.0
10138,Republic of Congo,0.0,20.1,0.0,0.0
10139,Tajikistan,0.0,14.4,0.0,0.0
10140,Panama,0.0,10.62,0.0,0.0
10141,Slovenia,0.0,11.89,0.0,0.0
10142,Tajikistan,0.0,17.35,0.0,0.0
10143,Albania,0.0,2.55,0.0,0.0
10144,Mozambique,0.0,21.93,0.0,0.0
10145,Malaysia,0.0,3.96,0.0,0.0
10146,Latvia,0.0,15.83,0.0,0.0
10147,Bangladesh,0.0,19.15,0.0,0.0
10148,Cyprus,0.0,11.03,0.0,0.0
10149,Japan,0.0,11.69,0.0,0.0
10150,Cameroon,0.0,17.95,0.0,0.0
10151,European Union (27),0.0,23.94,0.0,0.0
10152,Jordan,0.0,12.84,0.0,0.0
10153,Luxembourg,0.0,14.92,0.0,0.0
10154,Russia,0.0,11.09,0.0,0.0
10155,Argentina,0.0,6.74,0.0,0.0
10156,Guinea,0.0,4.59,0.0,0.0
10157,Israel,0.0,11.75,0.0,0.0
10158,Austria,0.0,12.35,0.0,0.0
10159,Brazil,0.0,13.85,0.0,0.0
10160,European Union (27),0.0,13.97,0.0,0.0
10161,Guatemala,0.0,16.66,0.0,0.0
10162,Jamaica,0.0,11.56,0.0,0.0
10163,Kyrgyzstan,0.0,14.97,0.0,0.0
10164,Papua New Guinea,0.0,15.96,0.0,0.0
10165,Rwanda,0.0,16.75,0.0,0.0
10166,Tanzania,0.0,0.0,0.0,0.0
10167,Latvia,0.0,13.97,0.0,0.0
10168,Switzerland,0.0,9.46,0.0,0.0
10169,Poland,0.0,10.3,0.0,0.0
10170,Paraguay,0.0,10.8,0.0,0.0
10171,Tunisia,0.0,16.58,0.0,0.0
10172,Brazil,0.0,9.32,0.0,0.0
10173,South Sudan,0.0,13.44,0.0,0.0
10174,Slovakia,0.0,13.39,0.0,0.0
10175,Bulgaria,0.0,15.39,0.0,0.0
10176,Libya,0.0,16.62,0.0,0.0
10177,Rwanda,0.0,0.26,0.0,0.0
10178,Senegal,0.0,17.56,0.0,0.0
10179,Switzerland,0.0,13.36,0.0,0.0
10180,World,0.0,4.93,0.0,0.0
10181,Bahrain,0.0,2.97,0.0,0.0
10182,Switzerland,0.0,9.3,0.0,0.0
10183,Guatemala,0.0,26.42,0.0,0.0
10184,Jordan,0.0,11.13,0.0,0.0
10185,Malta,0.0,8.11,0.0,0.0
10186,Ecuador,0.0,9.49,0.0,0.0
10187,Rwanda,0.0,12.79,0.0,0.0
10188,Botswana,0.0,11.09,0.0,0.0
10189,Iceland,0.0,11.94,0.0,0.0
10190,Lithuania,0.0,14.7,0.0,0.0
10191,Kuwait,0.0,14.54,0.0,0.0
10192,Burundi,0.0,11.53,0.0,0.0
10193,Eritrea,0.0,11.03,0.0,0.0
10194,Guyana,0.0,8.37,0.0,0.0
10195,Mauritania,0.0,6.12,0.0,0.0
10196,Costa Rica,0.0,8.19,0.0,0.0
10197,New Zealand,0.0,10.71,0.0,0.0
10198,El Salvador,0.0,7.27,0.0,0.0
10199,Myanmar,0.0,10.56,0.0,0.0
10200,Romania,0.0,11.22,0.0,0.0
10201,Fiji,0.01,9.13,0.0,0.0
10202,Georgia,0.0,21.96,0.0,0.0
10203,Kuwait,0.0,10.1,0.0,0.0
10204,Syria,0.0,4.41,0.0,0.0
10205,Togo,0.0,6.11,0.0,0.0
10206,India,0.0,5.19,0.0,0.0
10207,Sri Lanka,0.0,13.58,0.0,0.0
10208,Sudan,0.0,17.75,0.0,0.0
10209,Ghana,0.0,8.32,0.0,0.0
10210,Sri Lanka,0.0,34.19,0.0,0.0
10211,Laos,0.0,6.76,0.0,0.0
10212,Montenegro,0.0,8.15,0.0,0.0
10213,Gabon,0.0,12.11,0.0,0.0
10214,Togo,0.0,8.25,0.0,0.0
10215,Zambia,0.0,5.95,0.01,0.0
10216,Angola,0.0,7.21,0.0,0.0
10217,Algeria,0.0,9.91,0.0,0.0
10218,Japan,0.0,10.51,0.0,0.0
10219,Tunisia,0.0,7.71,0.0,0.0
10220,European Union (27),0.0,9.52,0.0,0.0
10221,Hungary,0.0,4.17,0.0,0.0
10222,Togo,0.0,6.95,0.0,0.0
10223,Guinea-Bissau,0.0,2.42,0.0,0.0
10224,Kazakhstan,0.01,5.66,0.0,0.0
10225,Nicaragua,0.0,8.67,0.0,0.0
10226,Republic of Congo,0.0,20.13,0.0,0.0
10227,Guatemala,0.0,5.78,0.0,0.0
10228,Madagascar,0.0,3.65,0.0,0.0
10229,Bangladesh,0.0,6.37,0.43,0.0
10230,Dominican Republic,0.0,7.92,0.0,0.0
10231,Guinea,0.0,3.08,0.0,0.0
10232,Mongolia,0.0,8.11,0.0,0.0
10233,Philippines,0.0,8.18,0.0,0.0
10234,Bosnia and Herzegovina,0.0,4.59,0.0,0.0
10235,Sudan,0.0,7.21,0.01,0.0
10236,Turkmenistan,0.0,9.16,0.0,0.0
10237,Turkmenistan,0.0,12.58,0.0,0.0
10238,Bolivia,0.0,5.01,0.0,0.0
10239,Dominican Republic,0.0,4.61,0.0,0.0
10240,Australia,0.0,10.59,0.0,0.0
10241,Belarus,0.0,7.38,0.0,0.0
10242,India,0.0,8.61,0.0,0.0
10243,Slovakia,0.0,5.16,0.0,0.0
10244,Brunei,0.0,2.42,0.0,0.0
10245,Botswana,0.0,6.88,0.0,0.0
10246,Canada,0.0,6.71,0.0,0.0
10247,Gabon,0.0,4.54,0.0,0.0
10248,Cambodia,0.0,6.26,0.0,0.0
10249,Bulgaria,0.0,7.07,0.0,0.0
10250,Bahamas,0.0,3.88,0.0,0.0
10251,Haiti,0.0,6.02,0.0,0.0
10252,Slovakia,0.0,7.98,0.0,0.0
10253,Yemen,0.0,5.1,0.0,0.0
10254,Brunei,0.0,4.42,0.0,0.0
10255,Greece,0.0,8.61,0.0,0.0
10256,Austria,0.0,10.67,0.0,0.0
10257,Latvia,0.0,7.34,0.0,0.0
10258,North Korea,0.0,5.45,0.0,0.0
10259,El Salvador,0.0,7.33,0.0,0.0
10260,Singapore,0.0,-54.68,0.0,0.0
10261,United States,0.0,8.4,0.0,0.0
10262,Uzbekistan,0.0,5.36,0.0,0.0
10263,Argentina,0.02,5.72,0.0,0.0
10264,Armenia,0.0,7.8,0.0,0.0
10265,Honduras,0.0,2.98,0.0,0.0
10266,Malawi,0.0,6.29,0.0,0.0
10267,Netherlands,0.0,8.73,0.0,0.0
10268,Vietnam,0.0,6.44,0.0,0.0
10269,South Africa,0.0,6.01,0.0,0.0
10270,Brazil,0.0,7.09,0.0,0.0
10271,Chile,0.0,3.12,0.0,0.0
10272,Georgia,0.0,7.23,0.0,0.0
10273,Ghana,0.0,6.27,0.0,0.0
10274,Jordan,0.0,8.91,0.02,0.0
10275,Sweden,0.0,4.43,0.0,0.0
10276,Burundi,0.0,13.91,0.0,0.0
10277,Cuba,0.0,6.76,0.0,0.0
10278,Libya,0.0,2.52,0.0,0.0
10279,Côte d'Ivoire,0.0,5.48,0.0,0.0
10280,Croatia,0.0,4.67,0.0,0.0
10281,Peru,0.0,2.59,0.0,0.0
10282,Indonesia,0.0,2.45,0.0,0.0
10283,Mexico,0.0,2.65,0.0,0.0
10284,Turkey,0.0,4.54,0.0,0.0
10285,Uzbekistan,0.0,5.19,0.0,0.0
10286,Hungary,0.0,5.9,0.0,0.0
10287,Cambodia,0.0,6.32,0.0,0.0
10288,United Arab Emirates,0.0,2.2,0.0,0.0
10289,Lithuania,0.0,4.67,0.0,0.0
10290,Mongolia,0.0,2.6,0.0,0.0
10291,Egypt,0.0,4.24,0.0,0.0
10292,Panama,0.0,9.99,0.0,0.0
10293,Czech Republic,0.0,4.72,0.0,0.0
10294,Croatia,0.0,4.59,0.0,0.0
10295,Burkina Faso,0.0,5.48,0.0,0.0
10296,Ghana,0.0,2.46,0.0,0.0
10297,Niger,0.0,5.69,0.0,0.0
10298,Estonia,0.0,3.89,0.0,0.0
10299,Senegal,0.0,3.45,0.0,0.0
10300,United States,0.0,3.01,0.0,0.0
10301,Germany,0.0,4.24,0.0,0.0
10302,Greece,0.0,2.23,0.0,0.0
10303,Sierra Leone,0.0,4.49,0.0,0.0
10304,Mexico,0.01,7.12,0.0,0.0
10305,United States,0.0,5.34,0.0,0.0
10306,Guinea-Bissau,0.0,4.76,0.0,0.0
10307,Rwanda,0.0,3.12,0.0,0.0
10308,Barbados,0.0,5.16,0.0,0.0
10309,Germany,0.0,0.91,0.01,0.0
10310,Croatia,0.0,3.14,0.0,0.0
10311,Madagascar,0.0,3.58,0.0,0.0
10312,Sweden,0.0,4.84,0.0,0.0
10313,Uganda,0.0,5.77,0.0,0.0
10314,Afghanistan,0.0,0.85,0.0,0.0
10315,Armenia,0.0,3.61,0.0,0.0
10316,South Korea,0.0,6.3,0.0,0.0
10317,Syria,0.0,2.01,0.0,0.0
10318,El Salvador,0.0,7.93,0.0,0.0
10319,Bosnia and Herzegovina,0.0,4.1,0.0,0.0
10320,Honduras,0.0,4.4,0.0,0.0
10321,Indonesia,0.0,4.76,0.0,0.0
10322,Kenya,0.0,4.47,0.0,0.0
10323,Bulgaria,0.0,5.95,0.0,0.0
10324,Iceland,0.0,3.3,0.0,0.0
10325,Bulgaria,0.0,2.88,0.0,0.0
10326,Chile,0.0,3.64,0.0,0.0
10327,Denmark,0.0,4.59,0.0,0.0
10328,Finland,0.0,1.07,0.0,0.0
10329,Moldova,0.0,2.03,0.0,0.0
10330,New Zealand,0.0,3.9,0.0,0.0
10331,Cameroon,0.0,2.0,0.0,0.0
10332,Denmark,0.0,4.16,0.0,0.0
10333,Panama,0.0,2.12,0.0,0.0
10334,Madagascar,0.0,3.24,0.01,0.0
10335,Bosnia and Herzegovina,0.0,7.09,0.0,0.0
10336,Colombia,0.0,4.43,0.0,0.0
10337,Mali,0.0,2.62,0.0,0.0
10338,Oman,0.0,2.46,0.0,0.0
10339,Austria,0.0,6.3,0.0,0.0
10340,Benin,0.0,2.4,0.0,0.0
10341,Canada,0.0,3.83,0.0,0.0
10342,European Union (27),0.0,3.09,0.0,0.0
10343,Sri Lanka,0.0,4.92,0.0,0.0
10344,Suriname,0.0,2.8,0.0,0.0
10345,Zimbabwe,0.0,3.18,0.0,0.0
10346,Azerbaijan,0.0,1.07,0.0,0.0
10347,Burkina Faso,0.0,2.36,0.0,0.0
10348,Belarus,0.0,2.89,0.0,0.0
10349,Democratic Republic of the Congo,0.0,0.8,0.0,0.0
10350,El Salvador,0.0,2.25,0.0,0.0
10351,Georgia,0.0,3.98,0.0,0.0
10352,Macedonia,0.0,2.53,0.0,0.0
10353,Thailand,0.0,1.56,0.0,0.0
10354,Zambia,0.0,2.79,0.0,0.0
10355,Azerbaijan,0.0,3.54,0.0,0.0
10356,Liberia,0.0,-1.41,0.0,0.0
10357,Libya,0.0,2.73,0.0,0.0
10358,Singapore,0.0,0.79,0.0,0.0
10359,Slovakia,0.0,2.43,0.0,0.0
10360,Belgium,0.0,3.53,0.0,0.0
10361,Madagascar,0.0,5.57,0.0,0.0
10362,Sudan,0.0,3.35,0.0,0.0
10363,Uruguay,0.0,0.43,0.0,0.0
10364,Norway,0.0,5.63,0.0,0.0
10365,Slovenia,0.0,1.97,0.0,0.0
10366,Equatorial Guinea,0.0,3.19,0.0,0.0
10367,Japan,0.0,7.71,0.0,0.0
10368,Cambodia,0.0,9.57,0.0,0.0
10369,Papua New Guinea,0.0,3.71,0.0,0.0
10370,Spain,0.0,2.68,0.0,0.0
10371,Georgia,0.0,1.45,0.0,0.0
10372,Hungary,0.0,2.04,0.0,0.0
10373,Kazakhstan,0.0,3.26,0.0,0.0
10374,South Africa,0.0,3.04,0.0,0.0
10375,Ireland,0.0,1.92,0.0,0.0
10376,Bulgaria,0.0,3.17,0.0,0.0
10377,Canada,0.0,3.55,0.0,0.0
10378,Netherlands,0.0,3.51,0.01,0.0
10379,Georgia,0.0,6.52,0.0,0.0
10380,Israel,0.0,1.67,0.0,0.0
10381,Lithuania,0.0,3.01,0.0,0.0
10382,Latvia,0.0,2.22,0.0,0.0
10383,Singapore,0.0,2.97,0.0,0.0
10384,Albania,0.0,2.14,0.0,0.0
10385,Armenia,0.0,2.81,0.0,0.0
10386,Georgia,0.0,2.57,0.0,0.0
10387,Guyana,0.0,2.76,0.0,0.0
10388,Sri Lanka,0.0,7.29,0.0,0.0
10389,Thailand,0.0,3.75,0.0,0.0
10390,Zambia,0.0,3.52,0.0,0.0
10391,Bulgaria,0.0,1.09,0.0,0.0
10392,Niger,0.0,3.04,0.0,0.0
10393,Israel,0.0,1.83,0.0,0.0
10394,Cambodia,0.0,2.46,0.0,0.0
10395,Luxembourg,0.0,1.92,0.0,0.0
10396,Moldova,0.0,2.44,0.0,0.0
10397,Eswatini,0.0,2.91,0.0,0.0
10398,Tunisia,0.0,2.82,0.0,0.0
10399,Malaysia,0.0,2.71,0.0,0.0
10400,El Salvador,0.0,2.54,0.0,0.0
10401,Senegal,0.0,2.48,0.0,0.0
10402,Afghanistan,0.0,6.56,0.0,0.0
10403,Cuba,0.0,2.84,0.0,0.0
10404,Moldova,0.0,1.99,0.0,0.0
10405,Mozambique,0.0,1.43,0.0,0.0
10406,Kyrgyzstan,0.0,2.53,0.01,0.0
10407,New Zealand,0.0,2.43,0.0,0.0
10408,Philippines,0.0,2.58,0.0,0.0
10409,Togo,0.0,2.19,0.0,0.0
10410,Tanzania,0.0,1.34,0.0,0.0
10411,Ukraine,0.0,1.73,0.0,0.0
10412,Ukraine,0.0,2.34,0.0,0.0
10413,Ecuador,0.0,0.07,0.0,0.0
10414,Gambia,0.0,1.92,0.0,0.0
10415,Mozambique,0.0,1.75,0.0,0.0
10416,Uruguay,0.0,1.3,0.0,0.0
10417,Costa Rica,0.0,1.01,0.0,0.0
10418,Mozambique,0.01,2.63,0.0,0.0
10419,Sierra Leone,0.0,1.98,0.0,0.0
10420,Albania,0.0,4.54,0.0,0.0
10421,Armenia,0.0,1.77,0.0,0.0
10422,Guyana,0.0,2.24,0.0,0.0
10423,Israel,0.0,2.69,0.0,0.0
10424,Uganda,0.0,2.19,0.0,0.0
10425,United Arab Emirates,0.0,2.32,0.0,0.0
10426,Ghana,0.0,1.79,0.0,0.0
10427,India,0.0,2.46,0.0,0.0
10428,Iraq,0.0,2.81,0.0,0.0
10429,Lebanon,0.0,2.92,0.0,0.0
10430,Georgia,0.0,1.77,0.0,0.0
10431,Haiti,0.0,-29.44,0.0,0.0
10432,Sri Lanka,0.0,0.79,0.0,0.0
10433,Togo,0.0,1.71,0.0,0.0
10434,Colombia,0.0,1.74,0.0,0.0
10435,Denmark,0.0,0.81,0.0,0.0
10436,United Kingdom,0.0,0.3,0.0,0.0
10437,Lebanon,0.0,1.38,0.0,0.0
10438,Tanzania,0.0,1.01,0.0,0.0
10439,Ukraine,0.0,1.1,0.0,0.0
10440,Zimbabwe,0.0,1.77,0.0,0.0
10441,Austria,0.0,1.79,0.0,0.0
10442,Costa Rica,0.0,2.89,0.0,0.0
10443,Finland,0.0,1.56,0.0,0.0
10444,Finland,0.0,4.61,0.0,0.0
10445,Greece,0.0,3.29,0.0,0.0
10446,Czech Republic,0.0,1.67,0.0,0.0
10447,Indonesia,0.0,1.38,0.0,0.0
10448,Democratic Republic of the Congo,0.0,0.0,0.0,0.0
10449,Cuba,0.0,-6.16,0.0,0.0
10450,France,0.01,0.76,0.0,0.0
10451,Hungary,0.0,0.55,0.0,0.0
10452,Myanmar,0.0,0.65,0.0,0.0
10453,Malawi,0.0,1.34,0.0,0.0
10454,Venezuela,0.0,0.97,0.0,0.0
10455,Bangladesh,0.0,0.15,0.0,0.0
10456,Côte d'Ivoire,0.0,2.02,0.0,0.0
10457,Lesotho,0.0,1.69,0.0,0.0
10458,Suriname,0.0,0.04,0.0,0.0
10459,Burkina Faso,0.0,0.18,0.0,0.0
10460,Brazil,0.0,2.18,0.0,0.0
10461,Netherlands,0.0,1.33,0.01,0.0
10462,Serbia,0.0,1.56,0.0,0.0
10463,Togo,0.0,1.45,0.0,0.0
10464,Georgia,0.0,1.0,0.0,0.0
10465,Suriname,0.0,1.2,0.0,0.0
10466,Sweden,0.0,0.88,0.0,0.0
10467,Uruguay,0.0,1.45,0.0,0.0
10468,Yemen,0.0,2.25,0.0,0.0
10469,United Arab Emirates,0.0,1.67,0.0,0.0
10470,Australia,0.0,1.68,0.0,0.0
10471,Cyprus,0.0,0.89,0.0,0.0
10472,United States,0.0,1.46,0.0,0.0
10473,Albania,0.0,0.92,0.0,0.0
10474,Chile,0.0,1.93,0.0,0.0
10475,Estonia,0.0,1.28,0.0,0.0
10476,Macedonia,0.0,1.93,0.0,0.0
10477,Mali,0.0,1.06,0.0,0.0
10478,Panama,0.0,2.08,0.0,0.0
10479,Sweden,0.0,2.57,0.0,0.0
10480,Venezuela,0.0,2.8,0.0,0.0
10481,Côte d'Ivoire,0.0,1.78,0.0,0.0
10482,Eritrea,0.0,1.87,0.0,0.0
10483,Honduras,0.0,2.52,0.0,0.0
10484,Laos,0.0,0.84,0.0,0.0
10485,Lesotho,0.0,1.04,0.0,0.0
10486,Norway,0.0,0.2,0.0,0.0
10487,Chad,0.0,1.05,0.0,0.0
10488,Belgium,0.0,1.03,0.0,0.0
10489,Guinea-Bissau,0.0,0.8,0.0,0.0
10490,Maldives,0.0,1.43,0.0,0.0
10491,Israel,0.0,1.15,0.0,0.0
10492,Kyrgyzstan,0.0,0.96,0.0,0.0
10493,Malta,0.0,0.49,0.0,0.0
10494,Costa Rica,0.0,1.77,0.0,0.0
10495,Estonia,0.0,0.89,0.0,0.0
10496,Ethiopia,0.0,2.42,0.0,0.0
10497,Poland,0.0,2.25,0.0,0.0
10498,Romania,0.0,1.89,0.0,0.0
10499,Trinidad and Tobago,0.0,1.49,0.0,0.0
10500,Moldova,0.0,1.91,0.0,0.0
10501,United States,0.0,1.11,0.0,0.0
10502,Zimbabwe,0.0,0.7,0.0,0.0
10503,Cuba,0.0,1.32,0.0,0.0
10504,Hungary,0.0,1.94,0.0,0.0
10505,Kenya,0.0,1.48,0.0,0.0
10506,Niger,0.0,0.74,0.0,0.0
10507,Norway,0.0,1.04,0.0,0.0
10508,Democratic Republic of the Congo,0.0,1.49,0.0,0.0
10509,Haiti,0.0,1.26,0.0,0.0
10510,Laos,0.0,2.62,0.0,0.0
10511,South Sudan,0.0,1.4,0.0,0.0
10512,Vietnam,0.0,1.03,0.0,0.0
10513,Bhutan,0.0,3.03,0.0,0.0
10514,Costa Rica,0.0,0.95,0.0,0.0
10515,Zimbabwe,0.0,0.83,0.0,0.0
10516,Burundi,0.0,1.37,0.0,0.0
10517,Bosnia and Herzegovina,0.0,1.39,0.0,0.0
10518,Colombia,0.0,1.21,0.0,0.0
10519,Poland,0.0,1.04,0.0,0.0
10520,Qatar,0.0,1.36,0.0,0.0
10521,Russia,0.0,2.37,0.0,0.0
10522,Somalia,0.0,0.91,0.0,0.0
10523,Yemen,0.0,1.36,0.0,0.0
10524,Croatia,0.0,0.92,0.0,0.0
10525,Cambodia,0.0,1.23,0.0,0.0
10526,Laos,0.0,0.92,0.0,0.0
10527,Latvia,0.0,0.65,0.0,0.0
10528,Oman,0.0,1.67,0.0,0.0
10529,Slovenia,0.0,1.09,0.0,0.0
10530,Timor-Leste,0.0,0.32,0.0,0.0
10531,Nicaragua,0.0,0.62,0.0,0.0
10532,Armenia,0.0,2.65,0.0,0.0
10533,Peru,0.0,1.56,0.0,0.0
10534,Thailand,0.0,1.98,0.0,0.0
10535,Benin,0.0,2.55,0.0,0.0
10536,Botswana,0.0,0.61,0.0,0.0
10537,Republic of Congo,0.0,0.79,0.0,0.0
10538,Denmark,0.0,0.86,0.0,0.0
10539,South Korea,0.0,1.04,0.0,0.0
10540,Belize,0.0,0.44,0.0,0.0
10541,Cape Verde,0.0,0.65,0.0,0.0
10542,Estonia,0.0,0.75,0.0,0.0
10543,Moldova,0.0,0.92,0.0,0.0
10544,Eswatini,0.0,1.49,0.0,0.0
10545,Thailand,0.0,0.47,0.0,0.0
10546,Zambia,0.01,0.53,0.0,0.0
10547,Guatemala,0.0,1.08,0.0,0.0
10548,Haiti,0.0,1.45,0.0,0.0
10549,Haiti,0.0,0.46,0.0,0.0
10550,Nepal,0.0,1.55,0.0,0.0
10551,Cuba,0.0,0.82,0.0,0.0
10552,Israel,0.0,0.39,0.0,0.0
10553,Jordan,0.0,0.74,0.0,0.0
10554,Sudan,0.0,0.67,0.0,0.0
10555,Timor-Leste,0.0,0.56,0.0,0.0
10556,Switzerland,0.0,0.62,0.0,0.0
10557,Morocco,0.0,0.75,0.0,0.0
10558,Niger,0.0,0.97,0.0,0.0
10559,Seychelles,0.0,0.74,0.0,0.0
10560,Uruguay,0.0,1.05,0.0,0.0
10561,Nicaragua,0.0,0.66,0.0,0.0
10562,United Arab Emirates,0.0,0.76,0.0,0.0
10563,Barbados,0.0,1.23,0.0,0.0
10564,Italy,0.0,0.94,0.0,0.0
10565,Jordan,0.0,0.37,0.0,0.0
10566,Nepal,0.0,0.57,0.0,0.0
10567,Russia,0.0,0.58,0.0,0.0
10568,Thailand,0.0,0.65,0.0,0.0
10569,Tunisia,0.0,1.12,0.0,0.0
10570,Belgium,0.0,0.74,0.0,0.0
10571,Brunei,0.0,1.11,0.0,0.0
10572,Finland,0.0,0.69,0.0,0.0
10573,Gambia,0.0,1.15,0.0,0.0
10574,Lebanon,0.0,0.81,0.0,0.0
10575,Lithuania,0.0,1.01,0.0,0.0
10576,Moldova,0.0,0.62,0.0,0.0
10577,Nepal,0.0,1.28,0.0,0.0
10578,Sudan,0.0,-1.95,0.0,0.0
10579,El Salvador,0.0,0.72,0.0,0.0
10580,Seychelles,0.0,0.71,0.0,0.0
10581,Belarus,0.0,1.57,0.0,0.0
10582,Guinea,0.0,0.22,0.0,0.0
10583,Jordan,0.0,1.03,0.0,0.0
10584,Cyprus,0.0,0.94,0.0,0.0
10585,Denmark,0.0,0.57,0.0,0.0
10586,Denmark,0.0,1.47,0.0,0.0
10587,European Union (27),0.0,2.15,0.0,0.0
10588,Equatorial Guinea,0.0,0.55,0.0,0.0
10589,Croatia,0.0,0.69,0.0,0.0
10590,Latvia,0.0,1.08,0.0,0.0
10591,Paraguay,0.0,0.73,0.0,0.0
10592,Romania,0.0,0.69,0.0,0.0
10593,Slovenia,0.0,0.51,0.0,0.0
10594,Syria,0.0,0.67,0.0,0.0
10595,Morocco,0.0,0.57,0.0,0.0
10596,Slovakia,0.0,0.33,0.0,0.0
10597,Japan,0.0,0.41,0.0,0.0
10598,Saint Lucia,0.0,1.91,0.0,0.0
10599,Portugal,0.0,0.55,0.0,0.0
10600,Vietnam,0.0,0.93,0.0,0.0
10601,Switzerland,0.0,2.14,0.0,0.0
10602,China,0.0,0.94,0.0,0.0
10603,Gabon,0.0,0.75,0.0,0.0
10604,Gambia,0.0,0.18,0.0,0.0
10605,Lithuania,0.0,31.31,0.0,0.0
10606,Morocco,0.0,0.39,0.0,0.0
10607,Antigua and Barbuda,0.0,0.6,0.0,0.0
10608,Bahrain,0.0,0.38,0.0,0.0
10609,Cambodia,0.0,0.35,0.0,0.0
10610,Lesotho,0.0,0.63,0.0,0.0
10611,Lithuania,0.0,0.99,0.0,0.0
10612,Paraguay,0.0,0.39,0.0,0.0
10613,Sudan,0.0,1.03,0.0,0.0
10614,Turkey,0.0,1.04,0.0,0.0
10615,Honduras,0.0,0.17,0.0,0.0
10616,Andorra,0.0,0.6,0.0,0.0
10617,Azerbaijan,0.0,0.67,0.0,0.0
10618,Benin,0.0,0.57,0.0,0.0
10619,Germany,0.0,0.55,0.0,0.0
10620,Spain,0.0,0.65,0.0,0.0
10621,Gabon,0.0,0.66,0.0,0.0
10622,Iraq,0.0,0.25,0.0,0.0
10623,Israel,0.0,0.38,0.0,0.0
10624,Serbia,0.0,0.41,0.0,0.0
10625,Suriname,0.0,2.31,0.0,0.0
10626,Chad,0.0,0.52,0.0,0.0
10627,Antigua and Barbuda,0.0,0.95,0.0,0.0
10628,Greece,0.01,0.68,0.0,0.0
10629,Indonesia,0.0,1.06,0.0,0.0
10630,Sri Lanka,0.0,0.56,0.0,0.0
10631,Russia,0.0,0.45,0.0,0.0
10632,Jordan,0.0,0.32,0.0,0.0
10633,Mauritius,0.0,0.43,0.0,0.0
10634,Serbia,0.0,0.57,0.0,0.0
10635,Slovenia,0.0,0.35,0.0,0.0
10636,Yemen,0.0,0.56,0.0,0.0
10637,Zimbabwe,0.0,0.0,0.0,0.0
10638,Zimbabwe,0.0,0.12,0.0,0.0
10639,Angola,0.0,0.57,0.0,0.0
10640,Cameroon,0.0,1.6,0.0,0.0
10641,Djibouti,0.0,0.56,0.0,0.0
10642,Guatemala,0.0,0.46,0.0,0.0
10643,Hungary,0.0,1.77,0.0,0.0
10644,Japan,0.0,0.59,0.0,0.0
10645,North Korea,0.0,0.85,0.0,0.0
10646,Burundi,0.0,0.53,0.0,0.0
10647,Portugal,0.0,0.54,0.0,0.0
10648,Serbia,0.0,0.46,0.0,0.0
10649,Timor-Leste,0.0,0.11,0.0,0.0
10650,Tanzania,0.0,0.49,0.01,0.0
10651,Canada,0.0,0.17,0.0,0.0
10652,Republic of Congo,0.0,1.03,0.0,0.0
10653,Eritrea,0.0,0.08,0.0,0.0
10654,United Kingdom,0.0,0.21,0.0,0.0
10655,Pakistan,0.0,0.15,0.0,0.0
10656,Togo,0.0,0.31,0.0,0.0
10657,Argentina,0.0,0.46,0.0,0.0
10658,Armenia,0.0,0.74,0.0,0.0
10659,Czech Republic,0.0,0.03,0.0,0.0
10660,Indonesia,0.0,0.38,0.0,0.0
10661,Kazakhstan,0.0,31.31,0.0,0.0
10662,Laos,0.0,0.6,0.0,0.0
10663,Malaysia,0.0,0.34,0.0,0.0
10664,Paraguay,0.0,0.12,0.0,0.0
10665,Cameroon,0.0,0.28,0.0,0.0
10666,Ecuador,0.0,0.16,0.0,0.0
10667,Indonesia,0.0,0.15,0.0,0.0
10668,Luxembourg,0.0,0.53,0.0,0.0
10669,Macedonia,0.0,0.2,0.0,0.0
10670,Netherlands,0.0,0.0,0.0,0.0
